3945, 777777777,10000, 10000, 100, 44,1,null
4037, 777777777,10000, 10000, 100, 45,1,null
4128, 777777777,10000, 10000, 100, 46,1,null
4219, 777777777,10000, 10000, 100, 47,1,null
4311, 777777777,2, 0.02, 100, 48,1,null
4403, 777777777,2, 0.02, 100, 49,1,null
4493, 777777777,2, 0.02, 100, 50,1,null
4584, 777777777,1, 0.01, 100, 51,1,null
4768, 777777777,1, 0.01, 100, 53,1,null
4858, 777777777,1, 0.01, 100, 54,1,null
4949, 777777777,1, 0.01, 100, 55,1,null
5041, 777777777,1, 0.01, 100, 56,1,null
5133, 777777777,1, 0.01, 100, 57,1,null
5680, 777777777,2, 0.02, 100, 63,1,null
5772, 777777777,2, 0.02, 100, 64,1,null
5864, 777777777,2, 0.02, 100, 65,1,null
6045, 777777777,2, 0.02, 100, 67,1,null
6137, 777777777,2, 0.02, 100, 68,1,null
6229, 777777777,2, 0.02, 100, 69,1,null
6502, 777777777,1, 0.01, 100, 72,1,null
6594, 777777777,1, 0.01, 100, 73,1,null
6684, 777777777,1, 0.01, 100, 74,1,null
6775, 777777777,10000, 10000, 100, 75,1,null
6867, 777777777,10000, 10000, 100, 76,1,null
6959, 777777777,10000, 10000, 100, 77,1,null
7050, 777777777,10000, 10000, 100, 78,1,null
3945, 888888888,10000, 10000, 100, 44,1,null
4037, 888888888,10000, 10000, 100, 45,1,null
4128, 888888888,10000, 10000, 100, 46,1,null
4219, 888888888,10000, 10000, 100, 47,1,null
4311, 888888888,4, 0.04, 100, 48,1,null
4403, 888888888,4, 0.04, 100, 49,1,null
4493, 888888888,4, 0.04, 100, 50,1,null
4584, 888888888,2, 0.02, 100, 51,1,null
4768, 888888888,2, 0.02, 100, 53,1,null
4858, 888888888,2, 0.02, 100, 54,1,null
4949, 888888888,2, 0.02, 100, 55,1,null
5041, 888888888,2, 0.02, 100, 56,1,null
5133, 888888888,2, 0.02, 100, 57,1,null
5680, 888888888,4, 0.04, 100, 63,1,null
5772, 888888888,4, 0.04, 100, 64,1,null
5864, 888888888,4, 0.04, 100, 65,1,null
6045, 888888888,4, 0.04, 100, 67,1,null
6137, 888888888,4, 0.04, 100, 68,1,null
6229, 888888888,4, 0.04, 100, 69,1,null
6502, 888888888,2, 0.02, 100, 72,1,null
6594, 888888888,2, 0.02, 100, 73,1,null
6684, 888888888,2, 0.02, 100, 74,1,null
6775, 888888888,10000, 10000, 100, 75,1,null
6867, 888888888,10000, 10000, 100, 76,1,null
6959, 888888888,10000, 10000, 100, 77,1,null
7050, 888888888,10000, 10000, 100, 78,1,null
9151, 999999999,10000, 10000, 500, 101,1,null
9241, 999999999,10000, 10000, 500, 102,1,null
9332, 999999999,10000, 10000, 500, 103,1,null
9424, 999999999,10000, 10000, 500, 104,1,null
9516, 999999999,4, 0.04, 500, 105,1,null
9606, 999999999,4, 0.04, 500, 106,1,null
9697, 999999999,4, 0.04, 500, 107,1,null
9972, 999999999,2, 0.02, 500, 110,1,null
10063, 999999999,2, 0.02, 500, 111,1,null
10155, 999999999,2, 0.02, 500, 112,1,null
10337, 999999999,2, 0.02, 500, 114,1,null
10428, 999999999,2, 0.02, 500, 115,1,null
10520, 999999999,2, 0.02, 500, 116,1,null
10702, 999999999,4, 0.04, 500, 118,1,null
10793, 999999999,4, 0.04, 500, 119,1,null
10885, 999999999,4, 0.04, 500, 120,1,null
20, 111222111,1, 0.01, 400, 1,1,null
110, 111222111,1, 0.01, 400, 2,1,null
201, 111222111,4, 0.01, 400, 3,1,null
385, 111222111,5, 0.02, 400, 5,1,null
475, 111222111,2, 0.02, 400, 6,1,null
566, 111222111,2, 0.02, 400, 7,1,null
658, 111222111,2, 0.02, 400, 8,1,null
750, 111222111,2, 0.02, 400, 9,1,null
840, 111222111,2, 0.02, 400, 10,1,null
931, 111222111,1, 0.01, 400, 11,1,null
1115, 111222111,1, 0.01, 400, 13,1,null
1206, 111222111,1, 0.01, 400, 14,1,null
1297, 111222111,10000, 10000, 400, 15,1,null
1389, 111222111,10000, 10000, 400, 16,1,null
1481, 111222111,10000, 10000, 400, 17,1,null
1571, 111222111,10000, 10000, 400, 18,1,null
