4311, 111111111,1.1, 0.1, 100, 48,1,BEFORE
4403, 111111111,1.1, 0.1, 100, 49,1,BEFORE
4768, 111111111,1, 0.07, 100, 53,1,BEFORE
4858, 111111111,1, 0.07, 100, 54,1,BEFORE
6319, 222222222,1.1, 0.1, 200, 70,1,BEFORE
6410, 222222222,1.1, 0.1, 200, 71,1,BEFORE
6775, 222222222,1, 0.07, 200, 75,1,BEFORE
6867, 222222222,1, 0.07, 200, 76,1,BEFORE
9516, 555555555,1.1, 0.1, 500, 105,1,BEFORE
9606, 555555555,1.1, 0.1, 500, 106,1,BEFORE
10063, 555555555,1, 0.07, 500, 111,1,BEFORE
10155, 555555555,1, 0.07, 500, 112,1,BEFORE
9697, 666666666,1.1, 0.1, 600, 107,1,BEFORE
9789, 666666666,1.1, 0.1, 600, 108,1,BEFORE
10155, 666666666,1, 0.07, 600, 112,1,BEFORE
10247, 666666666,1, 0.07, 600, 113,1,BEFORE
